2018-08-07 16:18:30,601 INFO  (AbstractHandlerMethodMapping.java:547) - Mapped "{[/tb_item/findAll],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.hang.controller.Tb_ItemController.findAll()
2018-08-07 16:18:30,770 INFO  (RequestMappingHandlerAdapter.java:574) - Looking for @ControllerAdvice: WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 16:18:30 CST 2018]; root of context hierarchy
2018-08-07 16:18:30,812 INFO  (RequestMappingHandlerAdapter.java:574) - Looking for @ControllerAdvice: WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 16:18:30 CST 2018]; root of context hierarchy
2018-08-07 16:18:31,344 INFO  (AbstractUrlHandlerMapping.java:373) - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
2018-08-07 16:18:31,397 INFO  (FrameworkServlet.java:509) - FrameworkServlet 'SpringServlet': initialization completed in 1320 ms
2018-08-07 16:18:32,573 DEBUG (BaseJdbcLogger.java:159) - ==>  Preparing: select * from tb_item 
2018-08-07 16:18:32,602 DEBUG (BaseJdbcLogger.java:159) - ==> Parameters: 
2018-08-07 16:18:32,837 DEBUG (BaseJdbcLogger.java:159) - <==      Total: 3096
2018-08-07 16:19:36,329 DEBUG (BaseJdbcLogger.java:159) - ==>  Preparing: select * from tb_item 
2018-08-07 16:19:36,330 DEBUG (BaseJdbcLogger.java:159) - ==> Parameters: 
2018-08-07 16:19:36,488 DEBUG (BaseJdbcLogger.java:159) - <==      Total: 3096
2018-08-07 16:23:47,501 INFO  (AbstractApplicationContext.java:993) - Closing WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 16:18:30 CST 2018]; root of context hierarchy
2018-08-07 16:23:51,001 INFO  (FrameworkServlet.java:494) - FrameworkServlet 'SpringServlet': initialization started
2018-08-07 16:23:51,020 INFO  (AbstractApplicationContext.java:590) - Refreshing WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 16:23:51 CST 2018]; root of context hierarchy
2018-08-07 16:23:51,044 INFO  (XmlBeanDefinitionReader.java:316) - Loading XML bean definitions from class path resource [applicationContext.xml]
2018-08-07 16:23:51,426 INFO  (AbstractHandlerMethodMapping.java:547) - Mapped "{[/tb_admin_info/login],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.hang.controller.Tb_Admin_InfoController.login(javax.servlet.http.HttpSession,com.hang.bean.Tb_Admin_Info)
2018-08-07 16:23:51,428 INFO  (AbstractHandlerMethodMapping.java:547) - Mapped "{[/tb_item/findAll],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.hang.controller.Tb_ItemController.findAll()
2018-08-07 16:23:51,636 INFO  (RequestMappingHandlerAdapter.java:574) - Looking for @ControllerAdvice: WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 16:23:51 CST 2018]; root of context hierarchy
2018-08-07 16:23:51,672 INFO  (RequestMappingHandlerAdapter.java:574) - Looking for @ControllerAdvice: WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 16:23:51 CST 2018]; root of context hierarchy
2018-08-07 16:23:52,155 INFO  (AbstractUrlHandlerMapping.java:373) - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
2018-08-07 16:23:52,206 INFO  (FrameworkServlet.java:509) - FrameworkServlet 'SpringServlet': initialization completed in 1198 ms
2018-08-07 16:23:56,859 DEBUG (BaseJdbcLogger.java:159) - ==>  Preparing: select * from tb_item 
2018-08-07 16:23:56,874 DEBUG (BaseJdbcLogger.java:159) - ==> Parameters: 
2018-08-07 16:23:57,063 DEBUG (BaseJdbcLogger.java:159) - <==      Total: 3096
2018-08-07 16:24:02,264 DEBUG (BaseJdbcLogger.java:159) - ==>  Preparing: select * from tb_item 
2018-08-07 16:24:02,265 DEBUG (BaseJdbcLogger.java:159) - ==> Parameters: 
2018-08-07 16:24:02,402 DEBUG (BaseJdbcLogger.java:159) - <==      Total: 3096
2018-08-07 16:25:40,288 INFO  (AbstractApplicationContext.java:993) - Closing WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 16:23:51 CST 2018]; root of context hierarchy
2018-08-07 16:25:47,987 INFO  (FrameworkServlet.java:494) - FrameworkServlet 'SpringServlet': initialization started
2018-08-07 16:25:48,002 INFO  (AbstractApplicationContext.java:590) - Refreshing WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 16:25:48 CST 2018]; root of context hierarchy
2018-08-07 16:25:48,022 INFO  (XmlBeanDefinitionReader.java:316) - Loading XML bean definitions from class path resource [applicationContext.xml]
2018-08-07 16:25:48,430 INFO  (AbstractHandlerMethodMapping.java:547) - Mapped "{[/tb_admin_info/login],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.hang.controller.Tb_Admin_InfoController.login(javax.servlet.http.HttpSession,com.hang.bean.Tb_Admin_Info)
2018-08-07 16:25:48,431 INFO  (AbstractHandlerMethodMapping.java:547) - Mapped "{[/tb_item/findAll],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.hang.controller.Tb_ItemController.findAll()
2018-08-07 16:25:48,579 INFO  (RequestMappingHandlerAdapter.java:574) - Looking for @ControllerAdvice: WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 16:25:48 CST 2018]; root of context hierarchy
2018-08-07 16:25:48,610 INFO  (RequestMappingHandlerAdapter.java:574) - Looking for @ControllerAdvice: WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 16:25:48 CST 2018]; root of context hierarchy
